LGA,Yes,Total,Percent
ALPINE,51,297,17.2
ARARAT,50,143,35
BALLARAT,486,"1,876",25.9
BANYULE,320,"2,337",13.7
BASS COAST,145,570,25.4
BAW BAW,298,"1,273",23.4
BAYSIDE,125,"1,014",12.3
BENALLA,53,152,34.9
BOROONDARA,245,"2,040",12
BRIMBANK,626,"4,127",15.2
BULOKE,29,200,14.5
CAMPASPE,207,798,25.9
CARDINIA,353,"1,671",21.1
CASEY,"1,067","6,542",16.3
CENTRAL GOLDFIELDS,85,262,32.4
COLAC-OTWAY,69,264,26.1
CORANGAMITE,54,300,18
DAREBIN,317,"2,032",15.6
EAST GIPPSLAND,219,768,28.5
FRANKSTON,713,"3,530",20.2
GANNAWARRA,49,199,24.6
GLEN EIRA,264,"2,017",13.1
GLENELG,103,461,22.3
GOLDEN PLAINS,40,121,33.1
GREATER BENDIGO,435,"2,058",21.1
GREATER DANDENONG,342,"2,274",15
GREATER GEELONG,661,"3,803",17.4
GREATER SHEPPARTON,248,"1,093",22.7
HEPBURN,50,208,24
HINDMARSH,36,175,20.6
HOBSONS BAY,230,"1,342",17.1
HORSHAM,76,416,18.3
HUME,655,"4,028",16.3
INDIGO,65,274,23.7
KINGSTON,360,"2,270",15.9
KNOX,363,"1,848",19.6
LATROBE,326,"1,350",24.1
LODDON,44,183,24
MACEDON RANGES,95,688,13.8
MANNINGHAM,316,"1,990",15.9
MANSFIELD,44,201,21.9
MARIBYRNONG,285,"2,000",14.3
MAROONDAH,299,"1,744",17.1
MELBOURNE,94,732,12.8
MELTON,449,"2,647",17
MILDURA,242,"1,241",19.5
MITCHELL,203,738,27.5
MOIRA,116,517,22.4
MONASH,665,"4,687",14.2
MOONEE VALLEY,334,"2,137",15.6
MOORABOOL,95,391,24.3
MORELAND,238,"1,617",14.7
MORNINGTON PENINSULA,435,"2,390",18.2
MOUNT ALEXANDER,83,296,28
MOYNE,25,101,24.8
MURRINDINDI,55,263,20.9
NILLUMBIK,139,890,15.6
NORTHERN GRAMPIANS,76,244,31.1
PORT PHILLIP,140,"1,132",12.4
PYRENEES,6,76,7.9
SOUTH GIPPSLAND,153,745,20.5
SOUTHERN GRAMPIANS,63,210,30
STONNINGTON,19,259,7.3
STRATHBOGIE,47,139,33.8
SURF COAST,89,453,19.6
SWAN HILL,140,482,29
TOWONG,59,259,22.8
WANGARATTA,64,250,25.6
WARRNAMBOOL,129,900,14.3
WELLINGTON,133,798,16.7
WEST WIMMERA,23,96,24
WHITEHORSE,371,"2,942",12.6
WHITTLESEA,679,"3,814",17.8
WODONGA,184,649,28.4
WYNDHAM,717,"4,827",14.9
YARRA,168,"1,602",10.5
YARRA RANGES,566,"3,111",18.2
YARRIAMBIACK,48,209,23
