LGA,Yes,Total,Percent,MedianHouseholdIncome,MedianRent,Rent/Income
ALPINE,21,197,0.11,1002,200,0.2
ARARAT,18,117,0.15,991,185,0.19
BALLARAT,402,"1,656",0.24,1160,250,0.22
BANYULE,374,"2,368",0.16,1655,350,0.21
BASS COAST,134,597,0.22,922,250,0.27
BAW BAW,240,"1,136",0.21,1196,250,0.21
BAYSIDE,121,773,0.16,2145,450,0.21
BENALLA,49,179,0.27,946,200,0.21
BOROONDARA,273,"2,077",0.13,2083,406,0.19
BRIMBANK,538,"3,630",0.15,1263,300,0.24
BULOKE,34,233,0.15,839,120,0.14
CAMPASPE,191,788,0.24,1081,200,0.19
CARDINIA,293,"1,461",0.2,1497,320,0.21
CASEY,926,"5,834",0.16,1554,340,0.22
CENTRAL GOLDFIELDS,71,264,0.27,775,195,0.25
COLAC-OTWAY,61,270,0.23,1057,210,0.2
CORANGAMITE,55,363,0.15,1043,170,0.16
DAREBIN,356,"1,893",0.19,1423,339,0.24
EAST GIPPSLAND,210,778,0.27,935,220,0.24
FRANKSTON,583,"2,998",0.19,1331,306,0.23
GANNAWARRA,48,249,0.19,908,150,0.17
GLEN EIRA,265,"1,819",0.15,1741,390,0.22
GLENELG,107,480,0.22,1043,182,0.17
GREATER BENDIGO,294,"1,075",0.27,1184,250,0.21
GREATER DANDENONG,360,"2,163",0.17,1168,300,0.26
GREATER GEELONG,666,"3,722",0.18,1244,280,0.23
GREATER SHEPPARTON,256,"1,031",0.25,1163,220,0.19
HEPBURN,55,215,0.26,996,235,0.24
HINDMARSH,17,192,0.09,907,140,0.15
HOBSONS BAY,172,"1,175",0.15,1567,330,0.21
HORSHAM,61,298,0.2,1110,200,0.18
HUME,694,"3,609",0.19,1379,320,0.23
INDIGO,53,272,0.19,1265,210,0.17
KINGSTON,263,"2,147",0.12,1537,351,0.23
KNOX,444,"1,962",0.23,1564,351,0.22
LATROBE,360,"1,294",0.28,1078,200,0.19
LODDON,25,180,0.14,826,125,0.15
MACEDON RANGES,81,641,0.13,1638,315,0.19
MANNINGHAM,327,"2,039",0.16,1642,415,0.25
MANSFIELD,37,180,0.21,1062,231,0.22
MARIBYRNONG,289,"1,937",0.15,1551,330,0.21
MAROONDAH,292,"1,766",0.17,1544,341,0.22
MELBOURNE,83,707,0.12,1354,450,0.33
MELTON,397,"2,043",0.19,1542,300,0.19
MILDURA,281,"1,237",0.23,1064,210,0.2
MITCHELL,182,688,0.26,1391,265,0.19
MOIRA,144,527,0.27,1014,200,0.2
MONASH,563,"4,466",0.13,1512,391,0.26
MOONEE VALLEY,326,"2,055",0.16,1635,350,0.21
MOORABOOL,85,351,0.24,1391,260,0.19
MORELAND,296,"1,564",0.19,1503,355,0.24
MORNINGTON PENINSULA,344,"1,940",0.18,1276,310,0.24
MOUNT ALEXANDER,74,316,0.23,1002,250,0.25
MOYNE,18,101,0.18,1225,180,0.15
MURRINDINDI,29,269,0.11,1071,220,0.21
NILLUMBIK,154,878,0.18,2098,369,0.18
NORTHERN GRAMPIANS,86,282,0.3,931,170,0.18
PORT PHILLIP,122,"1,003",0.12,1842,400,0.22
PYRENEES,10,98,0.1,876,160,0.18
SOUTH GIPPSLAND,137,664,0.21,1039,214,0.21
SOUTHERN GRAMPIANS,10,232,0.04,1043,175,0.17
STONNINGTON,19,315,0.06,1944,400,0.21
STRATHBOGIE,20,147,0.14,962,190,0.2
SURF COAST,71,395,0.18,1571,363,0.23
SWAN HILL,104,520,0.2,1094,185,0.17
TOWONG,74,333,0.22,1043,150,0.14
WANGARATTA,68,324,0.21,1085,210,0.19
WARRNAMBOOL,132,833,0.16,1182,250,0.21
WELLINGTON,147,726,0.2,1101,210,0.19
WEST WIMMERA,20,128,0.16,987,80,0.08
WHITEHORSE,459,"2,867",0.16,1507,376,0.25
WHITTLESEA,519,"3,033",0.17,1444,331,0.23
WYNDHAM,701,"4,135",0.17,1620,320,0.2
YARRA,144,"1,490",0.1,1958,421,0.22
YARRA RANGES,549,"3,071",0.18,1501,325,0.22
YARRIAMBIACK,24,194,0.12,885,130,0.15
